epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4428.93,1.06552,2.43488,1.43466,0.99024,0.94231,0.96705,0.78379,0.7156,1.59673,1.01016,0.00198758,0.000662526,0.00198758,0.000662526,0.00198758,0.000662526,0.00198758,0.000662526
2,7408.14,0.79653,1.23203,1.19279,0.98884,0.92938,0.9635,0.80905,0.63666,1.11772,0.96227,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
3,10699.2,0.74173,0.92018,1.13322,0.99266,0.95804,0.9826,0.83952,0.60091,0.77326,0.93167,0.00575047,0.00191682,0.00575047,0.00191682,0.00575047,0.00191682,0.00575047,0.00191682
4,13877.2,0.72753,0.77405,1.11106,0.99271,0.95208,0.98703,0.84057,0.5956,0.61372,0.93431,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,17787.7,0.69128,0.67413,1.09669,0.9964,0.96654,0.99273,0.85051,0.57207,0.50933,0.90216,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,20614.1,0.67198,0.60818,1.09203,0.99606,0.97727,0.99313,0.85202,0.60596,0.44552,0.92413,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,23424.4,0.66468,0.57942,1.07698,0.99121,0.98427,0.99426,0.86848,0.54181,0.39185,0.9028,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,26333.7,0.64237,0.5405,1.06618,0.9911,0.97304,0.99408,0.868,0.52758,0.35818,0.8822,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,29590.2,0.63265,0.51743,1.0664,0.99367,0.98077,0.99472,0.8735,0.53331,0.34484,0.89924,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,32465.7,0.61487,0.50215,1.04893,0.99318,0.98601,0.99472,0.87431,0.53059,0.31774,0.89852,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
